회사명,상장일,시장구분,재분류,기존분류,대표주관회사,산업분류,확정공모가,공모금액_억원,시가총액_억원,기관경쟁률,확약비율,수익률_1M,수익률_6M,수익률_1Y,근거문구
티에스아이,2017-10-30,코넥스,이익미실현,(NULL),한국투자증권(주),기계/장비,,,14959.56,,,,,,"조 제1항 제6호의 경영성과 및 시장평가 등 요건 중 가.목의 수익성 또는 매출액 관련 요건을 충족하지 못하였으며, 이에 따라 나.목의 시장평가 또는 성장성 충족(이익미실현기업의 상장)에 관한 요건을 적용받아 금번 "
카페24,2018-02-08,코스닥,이익미실현,이익미실현,"미래에셋증권 주식회사,유안타증권(주),한화투자증권(주)",IT/소프트웨어,57000,513.0,10260.0,672.71,42.9,56.3,180.7,96.8,당사는 성장성 있는 기업이라면 생산기반 확충 등을 위한 투자가 지속되어 이익미실현(적자) 상태에 있더라도 코스닥 시장에 진입할 수 있도록 신설된 「코스닥시장 상장규정」 상 이익미실현기업 상장요건을 적용받
아시아종묘,2018-02-12,코스닥,기술평가특례,일반,,소비재/유통,4500,42.75,450.0,239.52,4.39,-6.0,14.0,137.8,"당사는 『코스닥시장 상장규정』제7조 제2항에 의하여 상장되는 기술성장기업으로 동 규정 제28조(관리종목) 제1항 제2호 및 제3호, 제38조(상장의 폐지) 제1항 제4호 및 제4의2호에 따라 관리종목 지정과 상장폐지"
엔지켐생명과학,2018-02-21,코스닥,기술평가특례,기술특례,,바이오/헬스케어,56000,431.2,,258.68,13.25,101.6,60.0,71.2,당사는 코스닥시장 상장규정 제2조 제31항에 따른 기술성장기업으로서 상장 후 경영실적 및 재무상태 관련 관리종목 지정 요건 중 일부에 대하여 일반기업 대비 완화된 기준을 적용받
오스테오닉,2018-02-22,코스닥,기술평가특례,기술특례,,바이오/헬스케어,,,14322.06,,,,,,당사가 벤처기업 특례 요건이 적용됨에도 기술성장기업 특례로 심사 승인을 통과한 이유는 당사의 기술적 우수성 및 이에 기반한 성장성을 인정받고자 기술특례를통하여 상장 승인을 득
에코마이스터,2018-03-15,코스닥,기술평가특례,기술특례,"대신증권(주),한화투자증권(주)",기계/장비,5200,69.68,697.28,15.54,0.0,16.0,147.1,36.3,"""기술혁신형 중소기업' 인증 06 코스닥시장 기술성장기업 상장을 위한 기술평가신청 07 코스닥시장 기술성장기업 상장을 위한 기술평가등급 획득 07 ㈜에코마이스터 화전공장 설치(태웅 슬래그 재활용 운영 및 처리계약 체"
EDGC,2018-06-26,코스닥,기술평가특례,일반,SK증권(주),바이오/헬스케어,6500,468.0,4680.0,,,-14.8,-24.4,0.1,"당사는 『코스닥시장 상장규정』제7조 제2항에 의하여 상장되는 기술성장기업으로 동 규정 제28조(관리종목) 제1항 제2호 및 제3호, 제38조(상장의 폐지) 제1항 제4호 및 제4의2호에 따라 관리종목 지정과 상장폐지"
아이큐어,2018-07-12,코스닥,기술평가특례,기술특례,키움증권(주),바이오/헬스케어,65000,780.0,50160.04,642.1,5.08,-33.1,-50.4,-53.2,"외부 전문평가기관(2개 기관)으로부터 사전 기술평가를 받아야하며, 당사는 이크레더블(주)와 한국보건산업진흥원으로부터 'KRX 기술평가등급 A, BBB'를 득하였습니다. 상장예비심사를 청구하는 기업의 유형별 외형요건은"
올릭스,2018-07-18,코스닥,기술평가특례,기술특례,엔에이치투자증권(주),바이오/헬스케어,36000,432.0,4320.0,876.72,74.03,23.6,61.9,17.9,"당사는 『코스닥시장 상장규정』제7조 제2항에 의하여 상장되는 기술성장기업으로 동 규정 제28조(관리종목) 제1항 제2호 및 제3호, 제38조(상장의 폐지) 제1항 제4호 및 제4의2호에 따라 관리종목 지정과 상장폐지"
리메드,2018-08-14,코넥스,이익미실현,(NULL),한국투자증권(주),바이오/헬스케어,,,,,,,,,"부정적인 영향을 미칠 수 있으니 투자에 유의하시기 바랍니다 . 마. 공모가액 산출 관련 위험 당사는 「코스닥시장 상장규정」 제6조 제1항 제6호 나목 에 의한 이익미실현 요건에 충족하는 기업으로, 상장예비심사 외형요"
바이오솔루션,2018-08-20,코스닥,기술평가특례,기술특례,한국투자증권(주),바이오/헬스케어,29000,435.0,2374.41,174.79,5.04,60.3,53.4,-20.9,"회사: 이정선 대표이사, 윤정현 대표이사, 김동룡 이사, 윤은경 부장 3. 내용 1) 2018년 정기주주총회 안건 확인 2) 기술평가 등급 확인 및 상장 계획 검토 3) 상장 제도 변경안 검토 2018.04.11 상"
로보티즈,2018-10-26,코스닥,기술평가특례,일반,미래에셋증권 주식회사,기계/장비,14000,238.0,2380.0,958.6,39.8,21.1,34.3,-17.1,"서는 외부 전문평가기관(2개 기관)으로부터 사전 기술평가를 받아야하며, 당사는 이크레더블과 정보통신기술진흥센터로부터 'KRX 기술평가등급 A, A'를 득하였습니다. 아래와 같이 상장예비심사를 청구하는 기업의 유형별 "
