회사명,상장일,시장구분,대표주관회사,기존분류,재분류,근거문구
피엔에이치테크,2016-08-16,코넥스,한국투자증권(주),(NULL),기술평가특례,"2 공통층재료 상용화 진행 2015.07 특허재료(정공수송층) 양산시작 2015.10 진천 공장 완공 및 가동 2015.11 기술평가등급 2곳 모두 ""A""획득(한국기업데어타 & 기술보증기금) 2016.04 기관투자유치- 아주 IB외 3개기관 (31.8억원) 20"
헝셩그룹,2016-08-18,코스닥,,일반,일반,
자이글,2016-09-06,코스닥,"케이비투자증권(주),하나증권주식회사",일반,일반,
엠에프엠코리아,2016-09-08,코넥스,한화투자증권(주),(NULL),일반,
유니테크노,2016-09-20,코스닥,한국투자증권(주),일반,일반,
엘에스전선 아시아,2016-09-22,유가증권,"한국투자증권(주),하나증권주식회사",일반,일반,
유쎌,2016-09-29,코스닥,해당없음,(NULL),(문서없음),
에스엠로보틱스,2016-09-30,코스닥,KB증권(주),(NULL),(문서없음),
화승엔터프라이즈,2016-10-04,유가증권,한국투자증권(주),일반,일반,
미투온,2016-10-10,코스닥,미래에셋증권(주),일반,일반,
수산아이앤티,2016-10-11,코스닥,삼성증권(주),일반,일반,
앤디포스,2016-10-12,코스닥,미래에셋증권 주식회사,일반,일반,
잉글우드랩,2016-10-14,코스닥,,일반,일반,
에이치시티,2016-10-17,코스닥,미래에셋증권 주식회사,일반,일반,
인텔리안테크,2016-10-18,코스닥,한국투자증권(주),일반,일반,
골든센츄리,2016-10-19,코스닥,,일반,(문서없음),
GRT,2016-10-25,코스닥,,일반,일반,
안지오랩,2016-10-25,코스닥,대신증권(주),(NULL),(문서없음),
JW생명과학,2016-10-27,유가증권,케이비투자증권(주),일반,일반,
에이치엘사이언스,2016-10-28,코스닥,"미래에셋증권 주식회사,케이비투자증권(주)",일반,일반,
코스메카코리아,2016-10-28,코스닥,삼성증권(주),일반,일반,
인크로스,2016-10-31,코스닥,신한투자증권 주식회사,일반,일반,
굿센,2016-10-31,코스닥,하나증권(주),(NULL),(문서없음),
로고스바이오,2016-11-03,코스닥,신한투자증권 주식회사,기술특례,기술평가특례,"해서는 외부 전문평가기관(2개 기관)으로부터 사전 기술평가를 받아야하며, 당사는 한국기업데이터와 기술보증기금으로부터 'KRX 기술평가등급 A'를 득하였습니다. 상장예비심사를 청구하는 기업의 유형별 외형요건은 아래와 같이 일부 차이가 존재합니다. [ 코스닥시장 상"
오가닉티코스메틱,2016-11-04,코스닥,,일반,일반,
클리오,2016-11-09,코스닥,엔에이치투자증권(주),일반,일반,
삼성바이오로직스,2016-11-10,유가증권,"한국투자증권(주),씨티그룹글로벌마켓증권(주)",일반,일반,
수젠텍,2016-11-11,코넥스,한국투자증권(주),(NULL),기술평가특례,당사는 코스닥시장 상장규정에 의거 전문평가기관이 당사의 기술 등을 평가하여 평가결과가 일정 등급 이상일 경우 적용 되는 기술성장기업 특례를 적용 받
비플라이소프트,2016-11-16,코스닥,아이비케이투자증권(주),(NULL),기술평가특례,"당사는 코스닥시장 상장요건 중 전문평가기관의 기술 등에 대한 평가를 받아 2개 기관(한국기업데이터, 나이스평가정보)으로부터 A, BBB 등급을 취득한 기술력과 성장성이 인정되는 기업인 기술성장기업(기술 특례상장)으로서, 2022년 04월 07일 상장예비심사 승인을 득"
두산밥캣,2016-11-18,유가증권,"한국투자증권(주),CS증권 서울지점,홍콩상하이증권 서울지점,제이피모간증권회사 서울지점,한화투자증권(주),신영증권(주)",일반,일반,
핸디소프트,2016-11-24,코스닥,,일반,일반,
에이치엔티,2016-11-28,코스닥,키움증권(주),일반,일반,
나무기술,2016-11-28,코넥스,교보증권(주),(NULL),일반,
시큐센,2016-11-29,코스닥,신한투자증권(주),(NULL),일반,
스템랩,2016-11-29,코스닥,해당없음,(NULL),(문서없음),
뉴파워프라즈마,2016-11-30,코스닥,키움증권(주),일반,일반,
엘앤케이바이오,2016-11-30,코스닥,,일반,일반,
오션브릿지,2016-12-01,코스닥,대신증권(주),일반,일반,
퓨쳐켐,2016-12-01,코스닥,,기술특례,일반,
핸즈코퍼레이션,2016-12-02,유가증권,케이비투자증권(주),일반,일반,
신라젠,2016-12-06,코스닥,"엔에이치투자증권(주),하나증권주식회사,DB증권주식회사",기술특례,기술평가특례,당사는 기술성장기업으로서 일반 코스닥 상장기업에 비하여 완화된 관리종목 지정기준을 적용 받
애니젠,2016-12-07,코스닥,키움증권(주),기술특례,일반,
유니온커뮤니티,2016-12-07,코스닥,,일반,(문서없음),
바이오프로테크,2016-12-08,코스닥,한화투자증권(주),(NULL),(문서없음),
현성바이탈,2016-12-09,코스닥,,일반,(문서없음),
마이크로프랜드,2016-12-12,코스닥,키움증권(주),일반,일반,
피시피아비아이티,2016-12-13,코스닥,해당없음,(NULL),(문서없음),
티에스인베스트먼트,2016-12-15,코스닥,한국투자증권(주),일반,일반,
DSC인베스트먼트,2016-12-19,코스닥,키움증권(주),일반,일반,
오파스넷,2016-12-20,코넥스,교보증권(주),(NULL),일반,
패션플랫폼,2016-12-20,코넥스,신영증권(주),(NULL),일반,
퓨전데이타,2016-12-21,코스닥,한국투자증권(주),일반,일반,
케이피에스,2016-12-21,코스닥,키움증권(주),(NULL),(문서없음),
피엔아이시스템,2016-12-22,코스닥,해당없음,(NULL),(문서없음),
전우정밀,2016-12-23,코스닥,유안타증권(주),(NULL),(문서없음),
캐로스,2016-12-23,코스닥,해당없음,(NULL),(문서없음),
오백볼트,2016-12-28,코스닥,(주)BNK투자증권,(NULL),(문서없음),
에스앤디,2016-12-29,코넥스,유진투자증권(주),(NULL),일반,
케미메디,2017-01-13,코스닥,한화투자증권(주),(NULL),(문서없음),
비디아이,2017-01-16,코넥스,신영증권(주),(NULL),일반,
유바이오로직스,2017-01-24,코스닥,한국투자증권(주),기술특례,기술평가특례,"당사는 코스닥시장 상장규정 제2조 제31항에 의한 기술성장기업으로, 동 규정 제6조의 신규상장 심사요건 중 제1항 제4호의 자본상태 요건을 일부 완화 적용받"
서플러스글로벌,2017-01-25,코스닥,한국투자증권(주),일반,일반,
호전실업,2017-02-02,유가증권,엔에이치투자증권(주),일반,일반,
피씨엘,2017-02-23,코스닥,한국투자증권(주),기술특례,일반,
모바일어플라이언스,2017-02-24,코스닥,엔에이치투자증권(주),일반,일반,
에프엔에스테크,2017-02-27,코스닥,한국투자증권(주),일반,일반,
신신제약,2017-02-28,코스닥,케이비투자증권(주),일반,일반,
에스디생명공학,2017-03-02,코스닥,"신한투자증권 주식회사,한국투자증권(주)",일반,일반,
덴티움,2017-03-15,유가증권,엔에이치투자증권(주),일반,일반,
아스타,2017-03-20,코스닥,키움증권(주),기술특례,일반,
코미코,2017-03-23,코스닥,엔에이치투자증권(주),일반,일반,
서진시스템,2017-03-27,코스닥,엔에이치투자증권(주),일반,일반,
이엘피,2017-04-06,코스닥,,일반,일반,
플렉스파워에이더블유에스,2017-04-24,코스닥,해당없음,(NULL),(문서없음),
엠앤씨생명과학,2017-04-25,코스닥,아이비케이투자증권(주),(NULL),(문서없음),
와이엠티,2017-04-27,코스닥,하나증권주식회사,일반,일반,
하나머티리얼즈,2017-04-28,코스닥,"대신증권(주),엔에이치투자증권(주)",일반,일반,
앙츠,2017-04-28,코스닥,해당없음,(NULL),(문서없음),
에스와이제이,2017-05-02,코스닥,아이비케이투자증권(주),(NULL),(문서없음),
아이엔지생명,2017-05-11,유가증권,"삼성증권(주),모간스탠리인터내셔날증권회사 서울지점",일반,일반,
넷마블게임즈,2017-05-12,유가증권,"엔에이치투자증권(주),제이피모간증권회사 서울지점",일반,일반,
SGA임베디드,2017-05-23,코넥스,(주)상상인증권,(NULL),일반,
필옵틱스,2017-06-01,코스닥,신한투자증권 주식회사,일반,일반,
삼양옵틱스,2017-06-02,코스닥,미래에셋증권 주식회사,일반,일반,
보라티알,2017-06-08,코스닥,대신증권(주),일반,일반,
뿌리깊은나무들,2017-06-09,코스닥,아이비케이투자증권(주),(NULL),(문서없음),
에스알바이오텍,2017-06-15,코스닥,대신증권(주),(NULL),(문서없음),
다이오진,2017-06-19,코스닥,해당없음,(NULL),(문서없음),
메디안디노스틱,2017-06-26,코스닥,유진투자증권(주),(NULL),(문서없음),
주노콜렉션,2017-06-27,코스닥,해당없음,(NULL),(문서없음),
극동자동화,2017-06-28,코스닥,유진투자증권(주),(NULL),(문서없음),
제일홀딩스,2017-06-30,코스닥,"신한투자증권 주식회사,KB증권(주)",일반,일반,
알로이스,2017-07-07,코넥스,아이비케이투자증권(주),(NULL),일반,
카카오,2017-07-10,유가증권,,일반,일반,
아우딘퓨쳐스,2017-07-12,코스닥,하나증권주식회사,일반,일반,
브이원텍,2017-07-13,코스닥,미래에셋증권 주식회사,일반,일반,
힘스,2017-07-20,코스닥,"KB증권(주),SK증권(주)",일반,일반,
에브리봇,2017-07-24,코넥스,엔에이치투자증권(주),(NULL),일반,
루켄테크놀러지스,2017-07-25,코스닥,아이비케이투자증권(주),(NULL),(문서없음),
이즈미디어,2017-07-26,코스닥,한국투자증권(주),일반,일반,
셀트리온헬스케어,2017-07-28,코스닥,미래에셋증권 주식회사,일반,일반,
디앤씨미디어,2017-08-01,코스닥,키움증권(주),일반,일반,
지니언스,2017-08-02,코스닥,하나증권주식회사,일반,일반,
데이타솔루션,2017-08-03,코스닥,미래에셋증권 주식회사,일반,일반,
모트렉스,2017-08-04,코스닥,미래에셋증권 주식회사,일반,일반,
컬러레이,2017-08-10,코스닥,,일반,일반,
알에스오토메이션,2017-08-11,코스닥,미래에셋증권 주식회사,일반,일반,
포인트엔지니어링,2017-08-14,코넥스,엔에이치투자증권(주),(NULL),일반,
이더블유케이,2017-08-22,코스닥,신영증권(주),일반,일반,
명진홀딩스,2017-08-24,코스닥,해당없음,(NULL),(문서없음),
덕우전자,2017-08-28,코스닥,한국투자증권(주),일반,일반,
시그넷이브이,2017-08-30,코스닥,아이비케이투자증권(주),(NULL),(문서없음),
케이피에스,2017-09-06,코스닥,,일반,(문서없음),
두원석재,2017-09-08,코스닥,SK증권(주),(NULL),(문서없음),
펄어비스,2017-09-14,코스닥,한국투자증권(주),일반,일반,
샘코,2017-09-15,코스닥,"한국투자증권(주),대신증권(주)",기술특례,일반,
앱클론,2017-09-18,코스닥,엔에이치투자증권(주),기술특례,일반,
선익시스템,2017-09-20,코스닥,대신증권(주),일반,일반,
엠플러스,2017-09-20,코스닥,키움증권(주),일반,일반,
유티아이,2017-09-27,코스닥,한국투자증권(주),일반,일반,
신흥에스이씨,2017-09-27,코스닥,삼성증권(주),일반,일반,
에스엔피월드,2017-09-28,코스닥,대신증권(주),일반,일반,
야스,2017-09-29,코스닥,한국투자증권(주),일반,일반,
상신전자,2017-10-16,코스닥,미래에셋증권 주식회사,일반,일반,
세원,2017-10-20,코스닥,,일반,(문서없음),
영화테크,2017-10-26,코스닥,신한투자증권 주식회사,일반,일반,
탑선,2017-10-27,코스닥,엔에이치투자증권(주),(NULL),(문서없음),
티에스아이,2017-10-30,코넥스,한국투자증권(주),(NULL),이익미실현,"조 제1항 제6호의 경영성과 및 시장평가 등 요건 중 가.목의 수익성 또는 매출액 관련 요건을 충족하지 못하였으며, 이에 따라 나.목의 시장평가 또는 성장성 충족(이익미실현기업의 상장)에 관한 요건을 적용받아 금번 공모를 진행하고 있습니다. 당사는 기준시가총액 (공모가에 상장예정주식수를 곱한 금액) 이 300억원에 미달(확정공모"
테이팩스,2017-10-31,유가증권,"신한투자증권 주식회사,KB증권(주)",일반,일반,
에프엠에스,2017-10-31,코스닥,교보증권(주),(NULL),(문서없음),
티슈진,2017-11-06,코스닥,,일반,(문서없음),
비디아이,2017-11-09,코스닥,,일반,일반,
미디어젠,2017-11-10,코넥스,교보증권(주),(NULL),일반,
스튜디오드래곤,2017-11-24,코스닥,미래에셋증권 주식회사,일반,일반,
삼양패키징,2017-11-29,유가증권,한국투자증권(주),일반,일반,
비즈니스온,2017-11-30,코스닥,KB증권(주),일반,일반,
대원,2017-12-01,코스닥,신한투자증권 주식회사,일반,일반,
체리부로,2017-12-04,코스닥,미래에셋증권 주식회사,일반,일반,
에스트래픽,2017-12-05,코스닥,미래에셋증권 주식회사,일반,일반,
메카로,2017-12-06,코스닥,한국투자증권(주),일반,일반,
씨티케이코스메틱스,2017-12-07,코스닥,미래에셋증권 주식회사,일반,일반,
동양피스톤,2017-12-08,유가증권,"대신증권(주),IBK투자증권(주)",일반,일반,
진에어,2017-12-08,유가증권,미래에셋증권 주식회사,일반,일반,
휴럼,2017-12-12,코넥스,엔에이치투자증권(주),(NULL),일반,
씨알푸드,2017-12-14,코스닥,엔에이치투자증권(주),(NULL),(문서없음),
바이오시네틱스,2017-12-15,코스닥,키움증권(주),(NULL),(문서없음),
디바이스이엔지,2017-12-20,코스닥,한국투자증권(주),일반,일반,
라이프사이언스테크놀로지,2017-12-21,코스닥,주식회사 아이엠증권,(NULL),(문서없음),
탈모닷컴,2017-12-22,코스닥,주식회사 아이엠증권,(NULL),(문서없음),
시스웍,2017-12-26,코스닥,하나증권주식회사,일반,일반,
씨앤지하이테크,2018-01-25,코스닥,신한투자증권 주식회사,일반,일반,
SG,2018-01-26,코스닥,대신증권(주),일반,일반,
배럴,2018-02-01,코스닥,하나증권주식회사,일반,일반,
링크제니시스,2018-02-05,코스닥,,일반,일반,
카페24,2018-02-08,코스닥,"미래에셋증권 주식회사,유안타증권(주),한화투자증권(주)",이익미실현,이익미실현,당사는 성장성 있는 기업이라면 생산기반 확충 등을 위한 투자가 지속되어 이익미실현(적자) 상태에 있더라도 코스닥 시장에 진입할 수 있도록 신설된 「코스닥시장 상장규정」 상 이익미실현기업 상장요건을 적용받
셀트리온,2018-02-09,유가증권,,일반,일반,
알리코제약,2018-02-12,코스닥,IBK투자증권(주),일반,일반,
아시아종묘,2018-02-12,코스닥,,일반,기술평가특례,"당사는 『코스닥시장 상장규정』제7조 제2항에 의하여 상장되는 기술성장기업으로 동 규정 제28조(관리종목) 제1항 제2호 및 제3호, 제38조(상장의 폐지) 제1항 제4호 및 제4의2호에 따라 관리종목 지정과 상장폐지 요건 중 매출액, 법인세비용차감전계속사업손실 요건은 신규상장일이 속하는 사업연도를 포함한 연속하는 5개 사업연도 동안 해당 요건을 적용받"
동구바이오제약,2018-02-13,코스닥,엔에이치투자증권(주),일반,일반,
엔지켐생명과학,2018-02-21,코스닥,,기술특례,기술평가특례,당사는 코스닥시장 상장규정 제2조 제31항에 따른 기술성장기업으로서 상장 후 경영실적 및 재무상태 관련 관리종목 지정 요건 중 일부에 대하여 일반기업 대비 완화된 기준을 적용받
오스테오닉,2018-02-22,코스닥,,기술특례,기술평가특례,당사가 벤처기업 특례 요건이 적용됨에도 기술성장기업 특례로 심사 승인을 통과한 이유는 당사의 기술적 우수성 및 이에 기반한 성장성을 인정받고자 기술특례를통하여 상장 승인을 득
린드먼아시아,2018-03-14,코스닥,키움증권(주),일반,일반,
에코마이스터,2018-03-15,코스닥,"대신증권(주),한화투자증권(주)",기술특례,기술평가특례,"""기술혁신형 중소기업' 인증 06 코스닥시장 기술성장기업 상장을 위한 기술평가신청 07 코스닥시장 기술성장기업 상장을 위한 기술평가등급 획득 07 ㈜에코마이스터 화전공장 설치(태웅 슬래그 재활용 운영 및 처리계약 체결) 08 한국거래소 코스닥시장 상장예비심사"
애경산업,2018-03-22,유가증권,대신증권(주),일반,일반,
케어랩스,2018-03-28,코스닥,한국투자증권(주),일반,일반,
위세아이텍,2018-04-02,코넥스,교보증권(주),(NULL),일반,
JTC,2018-04-06,코스닥,,일반,일반,
에스제이켐,2018-04-27,코스닥,해당없음(크라우드펀딩특례상장),(NULL),(문서없음),
다이노나,2018-05-08,코넥스,한국투자증권(주),(NULL),일반,
디피코,2018-05-16,코스닥,현대차증권(주),(NULL),(문서없음),
제노레이,2018-05-28,코스닥,한국투자증권(주),일반,일반,
세종메디칼,2018-05-29,코스닥,한국투자증권(주),일반,일반,
현대사료,2018-06-01,코스닥,신한투자증권 주식회사,일반,일반,
파워넷,2018-06-07,코스닥,DB증권주식회사,일반,일반,
에스엠비나,2018-06-25,코스닥,해당없음,(NULL),(문서없음),
EDGC,2018-06-26,코스닥,SK증권(주),일반,기술평가특례,"당사는 『코스닥시장 상장규정』제7조 제2항에 의하여 상장되는 기술성장기업으로 동 규정 제28조(관리종목) 제1항 제2호 및 제3호, 제38조(상장의 폐지) 제1항 제4호 및 제4의2호에 따라 관리종목 지정과 상장폐지 요건 중 매출액, 법인세비용차감전계속사업손실 요건은 신규상장일이 속하는 사업연도를 포함한 연속하는 5개 사업연도 동안 해당 요건을 적용받"
지앤이바이오텍,2018-06-29,코스닥,주식회사 아이엠증권,(NULL),(문서없음),
엘리비젼,2018-07-05,코스닥,주식회사 아이엠증권,(NULL),(문서없음),
SV인베스트먼트,2018-07-06,코스닥,미래에셋증권 주식회사,일반,일반,
아이큐어,2018-07-12,코스닥,키움증권(주),기술특례,기술평가특례,"외부 전문평가기관(2개 기관)으로부터 사전 기술평가를 받아야하며, 당사는 이크레더블(주)와 한국보건산업진흥원으로부터 'KRX 기술평가등급 A, BBB'를 득하였습니다. 상장예비심사를 청구하는 기업의 유형별 외형요건은 아래와 같이 일부 차이가 존재합니다. [코스닥"
테크트랜스,2018-07-13,코스닥,유안타증권(주),(NULL),(문서없음),
올릭스,2018-07-18,코스닥,엔에이치투자증권(주),기술특례,기술평가특례,"당사는 『코스닥시장 상장규정』제7조 제2항에 의하여 상장되는 기술성장기업으로 동 규정 제28조(관리종목) 제1항 제2호 및 제3호, 제38조(상장의 폐지) 제1항 제4호 및 제4의2호에 따라 관리종목 지정과 상장폐지 요건 중 매출액, 법인세비용차감전계속사업손실 요건은 신규상장일이 속하는 사업연도를 포함한 연속하는 5개 사업연도 동안 해당 요건을 적용받"
엠코르셋,2018-07-23,코스닥,대신증권(주),일반,일반,
한국유니온제약,2018-07-26,코스닥,DB증권주식회사,일반,일반,
롯데정보통신,2018-07-27,유가증권,미래에셋증권 주식회사,일반,일반,
티웨이항공,2018-08-01,유가증권,"신한투자증권 주식회사,대신증권(주)",일반,일반,
휴네시온,2018-08-02,코스닥,엔에이치투자증권(주),일반,일반,
에스에스알,2018-08-06,코스닥,하나증권주식회사,일반,일반,
디아이티,2018-08-07,코스닥,삼성증권(주),일반,일반,
엔케이맥스,2018-08-09,코스닥,키움증권(주),(NULL),(문서없음),
대유,2018-08-10,코스닥,KB증권(주),일반,일반,
더콘텐츠온,2018-08-13,코스닥,대신증권(주),(NULL),(문서없음),
리메드,2018-08-14,코넥스,한국투자증권(주),(NULL),이익미실현,"부정적인 영향을 미칠 수 있으니 투자에 유의하시기 바랍니다 . 마. 공모가액 산출 관련 위험 당사는 「코스닥시장 상장규정」 제6조 제1항 제6호 나목 에 의한 이익미실현 요건에 충족하는 기업으로, 상장예비심사 외형요건 중 경영성과 요건을 면제 받았습니다. 또한 공모가액 산출 시 최근 사업연도 또는 분ㆍ반기"
바이오솔루션,2018-08-20,코스닥,한국투자증권(주),기술특례,기술평가특례,"회사: 이정선 대표이사, 윤정현 대표이사, 김동룡 이사, 윤은경 부장 3. 내용 1) 2018년 정기주주총회 안건 확인 2) 기술평가 등급 확인 및 상장 계획 검토 3) 상장 제도 변경안 검토 2018.04.11 상장예비심사청구서 제출 2018.06.14 코스닥시"
에이피티씨,2018-08-23,코스닥,대신증권(주),일반,일반,
오파스넷,2018-08-24,코스닥,,일반,일반,
액트로,2018-08-28,코스닥,키움증권(주),일반,일반,
디지캡,2018-09-07,코스닥,,일반,일반,
엔솔바이오,2018-09-10,코스닥,신한투자증권(주),(NULL),(문서없음),
명성티엔에스,2018-09-13,코스닥,KB증권(주),일반,일반,
우진아이엔에스,2018-09-14,유가증권,신영증권(주),일반,일반,
지티지웰니스,2018-09-21,코스닥,,일반,(문서없음),
크리스에프앤씨,2018-10-01,코스닥,KB증권(주),일반,일반,
하나제약,2018-10-02,유가증권,미래에셋증권 주식회사,일반,일반,
푸드나무,2018-10-04,코스닥,미래에셋증권 주식회사,일반,일반,
나우아이비캐피탈,2018-10-04,코스닥,신영증권(주),일반,일반,
에스퓨얼셀,2018-10-15,코스닥,한국투자증권(주),일반,일반,
로보티즈,2018-10-26,코스닥,미래에셋증권 주식회사,일반,기술평가특례,"서는 외부 전문평가기관(2개 기관)으로부터 사전 기술평가를 받아야하며, 당사는 이크레더블과 정보통신기술진흥센터로부터 'KRX 기술평가등급 A, A'를 득하였습니다. 아래와 같이 상장예비심사를 청구하는 기업의 유형별 외형요건은 아래와 같이 일부 차이가 존재합니다."
옵티팜,2018-10-26,코스닥,엔에이치투자증권(주),기술특례,기술평가특례,"성장특례를 적용받은 기업으로서 일반기업에 비해 완화된 상장심사요건을 적용 받았으며, 기술보증기금과 나이스디앤비로부터 'KRX 기술평가등급 A, BBB'를 득하였습니다. 당사는 현재 보유하고 있는 이종장기 기술 및 VLP백신 기술을 조기에 기술이전 등을 통하여 수"
엘앤씨바이오,2018-11-01,코스닥,한국투자증권(주),일반,일반,
노바텍,2018-11-02,코스닥,하나증권주식회사,일반,일반,
대보마그네틱,2018-11-06,코스닥,한국투자증권(주),일반,일반,
셀리버리,2018-11-09,코스닥,DB증권주식회사,기술특례(성장성),성장성/사업모델,당사는 코스닥시장 상장요건 중 상장주선인이 성장성을 평가하여 추천한 중소기업 에 해당하는
노바렉스,2018-11-14,코스닥,엔에이치투자증권(주),일반,일반,
디자인,2018-11-15,코스닥,대신증권(주),일반,일반,
아이엘사이언스,2018-11-16,코스닥,신영증권(주),(NULL),(문서없음),
디케이앤디,2018-11-20,코스닥,키움증권(주),일반,일반,
아주IB투자,2018-11-21,코스닥,미래에셋증권 주식회사,일반,일반,
파멥신,2018-11-21,코스닥,"KB증권(주),삼성증권(주)",일반,일반,
싸이토젠,2018-11-22,코스닥,키움증권(주),기술특례,일반,
디알젬,2018-11-22,코스닥,한국투자증권(주),일반,일반,
아시아나IDT,2018-11-23,유가증권,KB증권(주),일반,일반,
나라소프트,2018-11-23,코스닥,해당없음,(NULL),(문서없음),
티앤알바이오팹,2018-11-28,코스닥,키움증권(주),기술특례,기술평가특례,"를 적용받은 기업으로서 일반기업에 비해 완화된 상장심사요건을 적용 받았으며, 한국기업데이터와 나이스디앤비로부터 각각 'KRX 기술평가등급 A, A'를 득하였습니다. 당사는 현재 보유하고 있는 3D 바이오프린팅 플랫폼 기술 기반으로 제조한 생분해성 인공지지체의 적"
네오펙트,2018-11-28,코스닥,한국투자증권(주),일반,일반,
에이펙스인텍,2018-11-28,코스닥,아이비케이투자증권(주),(NULL),(문서없음),
남화산업,2018-11-29,코스닥,대신증권(주),일반,일반,
티로보틱스,2018-11-29,코스닥,키움증권(주),일반,일반,
엠아이텍,2018-11-29,코스닥,하나증권주식회사,일반,일반,
윙입푸드,2018-11-30,코스닥,,일반,일반,
비엔에프코퍼레이션,2018-11-30,코스닥,아이비케이투자증권(주),(NULL),(문서없음),
베스파,2018-12-03,코스닥,미래에셋증권 주식회사,일반,일반,
에코캡,2018-12-05,코스닥,IBK투자증권(주),일반,일반,
대유에이피,2018-12-07,코스닥,신영증권(주),일반,일반,
이노메트리,2018-12-12,코스닥,유진투자증권(주),일반,일반,
뉴트리,2018-12-13,코스닥,미래에셋증권 주식회사,일반,일반,
머큐리,2018-12-14,코스닥,미래에셋증권 주식회사,일반,일반,
전진바이오팜,2018-12-14,코스닥,미래에셋증권 주식회사,기술특례,기술평가특례,"평가기관(2개 기관)으로부터 기술평가를 받은 바 있습니다. 이와 관련하여 당사는 이크레더블과 나이스평가정보로부터 각각 KRX 기술평가등급 A 및 BBB를 득하였습니다. 당사는 천연소재를 활용하여 유해생물 퇴치산업의 새로운 시장을 개척하고자 하나, 국내의 제도 및"
에이비엘바이오,2018-12-19,코스닥,한국투자증권(주),기술특례,기술평가특례,018.07.26 I-MAB사와 기술도입 계약 체결 2018.07.30 TRIGR사와 기술이전 계약 체결 2018.08.20 기술평가 등급 획득 2018.09.05 2018년도 바이오 혁신성장기업 장관상 수상(산업자원부) 2018.09.10 IPO 상장예비심사청구
프로테옴텍,2018-12-19,코스닥,키움증권(주),(NULL),기술평가특례,"당사는 「코스닥시장 상장규정」 제30조 제1항에서 정하는 기술성장기업에 해당하고, 코스닥이전상장이므로 제88조에 따른 상장심사수수료 및 상장수수료 면제 대상에 해당합니다"
위지윅스튜디오,2018-12-20,코스닥,"엔에이치투자증권(주),삼성증권(주)",일반,일반,
디케이티,2018-12-21,코스닥,엔에이치투자증권(주),일반,일반,
테크엔,2018-12-21,코스닥,해당없음,(NULL),(문서없음),
유틸렉스,2018-12-24,코스닥,엔에이치투자증권(주),기술특례,기술평가특례,"당사는 『코스닥시장 상장규정』제7조 제2항에 의하여 상장되는 기술성장기업으로 동 규정 제38조(상장의 폐지) 제1항 제4호 및 제4의2호에 따라 상장폐지 요건 중 매출액, 법인세비용차감전계속사업손실 요건은 신규상장일이 속하는 사업연도를 포함한 연속하는 5개 사업연도 동안 해당 요건을 적용받"
비피도,2018-12-26,코스닥,한국투자증권(주),기술특례,기술평가특례,"부 전문평가기관(2개 기관)으로부터 사전 기술평가를 받아야하며, 당사는 한국과학기술정보연구원과 NICE평가정보로부터 'KRX 기술평가등급 A, A'를 득하였습니다. 상장예비심사를 청구하는 기업의 유형별 외형요건은 아래와 같이 일부 차이가 존재합니다. [코스닥시장"
지놈앤컴퍼니,2018-12-26,코넥스,한국투자증권(주),(NULL),기술평가특례,"시장규모 및 성장잠재력과 기술제품의 경쟁력 감안 시 전반적인 시장성은 양호한 수준인 것으로 평가됨. 이에 따라 동사의 최종 기술평가등급은 장래 환경변화에 다소 영향을 받을 수는 있으나 우수한 기술력을 보유한 BBB 수준으로 의견 제시함. &cr;한편, 상장예비"
에어부산,2018-12-27,유가증권,"미래에셋증권 주식회사,엔에이치투자증권(주)",일반,일반,
대원모방,2018-12-27,코스닥,해당없음,(NULL),(문서없음),
엘에이티,2018-12-28,코스닥,한국투자증권(주),(NULL),(문서없음),
웹케시,2019-01-25,코스닥,하나증권주식회사,일반,일반,
노랑풍선,2019-01-30,코스닥,"한국투자증권(주),KB증권(주)",일반,일반,
이노테라피,2019-02-01,코스닥,대신증권(주),기술특례,일반,
천보,2019-02-11,코스닥,하나증권주식회사,일반,일반,
우리금융지주,2019-02-13,유가증권,한국투자증권(주),일반,일반,
셀리드,2019-02-20,코스닥,삼성증권(주),기술특례,일반,
에코프로비엠,2019-03-05,코스닥,대신증권(주),일반,일반,
더블유게임즈,2019-03-12,유가증권,,일반,일반,
드림텍,2019-03-14,유가증권,엔에이치투자증권(주),일반,일반,
미래에셋벤처투자,2019-03-15,코스닥,KB증권(주),일반,일반,
이지케어텍,2019-03-22,코스닥,미래에셋증권 주식회사,일반,일반,
지노믹트리,2019-03-27,코스닥,,기술특례,기술평가특례,"외부 전문평가기관(2개 기관)으로부터 사전 기술평가를 받아야하며, 당사는 한국생명공학연구원과 이크레더블로부터 각각 'KRX 기술평가등급 A, A'를 득하였습니다. 상장예비심사를 청구하는 기업의 유형별 외형요건은 아래와 같이 일부 차이가 존재합니다. 구분 일반기"
현대오토에버,2019-03-28,유가증권,엔에이치투자증권(주),일반,일반,
아모그린텍,2019-03-29,코스닥,삼성증권(주),이익미실현,일반,
이노벡스,2019-04-12,코스닥,아이비케이투자증권(주),(NULL),(문서없음),
SNK,2019-05-07,코스닥,,일반,(문서없음),
다원넥스뷰,2019-05-21,코넥스,신한투자증권(주),(NULL),기술평가특례,"/서비스의 사업화 수준 , 제품 /서비스의 경쟁력을 감안 시 시장성은 보통 이상 수준으로 평가됨 . 이에 따라 동사의 최종 기술평가등급은 기술력이 동종기업 대비 다소 높고 기술환경변화에 보통의 영향을 받을 수 있는 수준이며 미래 성장 가능성이 양호한 수준인 B"
