회사명,상장일,시장구분,트랙,판정근거,기존DB분류,대표주관회사,산업분류,확정공모가,공모금액_억원,시가총액_억원,기관경쟁률,확약비율,수익률_1M,수익률_6M,수익률_1Y
천랩,2019-12-26,코스닥,기술평가특례,body,기술특례(성장성),한국투자증권(주),바이오/헬스케어,40000,172.0,1571.1,51.11,0.0,-13.0,15.9,0.3
서남,2020-02-20,코스닥,기술평가특례,body,기술특례,한국투자증권(주),화학/소재,3100,108.5,671.57,1228.4,5.21,-40.2,13.9,18.4
레몬,2020-02-28,코스닥,기술평가특례,body,기술특례,미래에셋증권 주식회사,화학/소재,7200,295.2,5904.0,426.0,6.3,18.1,173.6,26.7
켄코아에어로스페이스,2020-03-03,코스닥,이익미실현,body,이익미실현,엔에이치투자증권(주),방산/우주항공,10000,131.4,1178.41,120.75,2.55,-40.1,-24.0,26.5
에스씨엠생명과학,2020-06-17,코스닥,기술평가특례,body,기술특례,한국투자증권(주),바이오/헬스케어,17000,306.0,2138.85,1032.17,7.7,52.9,104.1,86.5
젠큐릭스,2020-06-25,코스닥,기술평가특례,body,기술특례,,바이오/헬스케어,22700,181.6,227.0,77.03,0.0,-30.2,-22.7,0.9
소마젠,2020-07-13,코스닥,기술평가특례,body,기술특례,,바이오/헬스케어,11000,462.0,4620.0,69.46,0.0,54.1,65.0,24.1
티에스아이,2020-07-22,코스닥,이익미실현,body,일반,,기계/장비,,,14959.56,,,,,
솔트룩스,2020-07-23,코스닥,기술평가특례,body,기술특례(성장성),한국투자증권(주),IT/소프트웨어,25000,187.5,1279.68,528.17,5.58,14.2,40.0,24.6
제놀루션,2020-07-24,코스닥,기술평가특례,body,기술특례,,바이오/헬스케어,14000,112.0,1120.0,1161.09,21.36,123.9,86.4,164.6
셀레믹스,2020-08-21,코스닥,기술평가특례,body,기술특례(성장성),대신증권(주),바이오/헬스케어,20000,264.0,5280.0,1203.41,5.41,21.5,21.8,-3.8
이오플로우,2020-09-14,코스닥,기술평가특례,body,기술특례(성장성),하나증권주식회사,바이오/헬스케어,19000,266.0,5400.0,150.87,14.83,134.2,247.4,170.5
압타머사이언스,2020-09-16,코스닥,성장성/사업모델,body,기술특례(성장성),키움증권(주),바이오/헬스케어,25000,325.0,2231.53,830.32,3.27,-19.4,-8.4,0.8
박셀바이오,2020-09-22,코스닥,기술평가특례,body,기술특례,하나증권주식회사,바이오/헬스케어,30000,295.55,2310.0,94.18,11.68,-18.0,721.4,426.7
넥스틴,2020-10-08,코스닥,기술평가특례,body,기술특례,KB증권(주),기계/장비,75400,241.28,,30.25,23.3,5.2,211.7,123.1
피플바이오,2020-10-19,코스닥,기술평가특례,body,기술특례,키움증권(주),바이오/헬스케어,20000,100.0,1180.49,40.4,0.0,116.8,114.5,48.2
바이브컴퍼니,2020-10-28,코스닥,기술평가특례,body,기술특례(성장성),한국투자증권(주),IT/소프트웨어,28000,182.0,14560.02,1221.45,7.96,26.1,12.3,31.1
센코,2020-10-29,코스닥,기술평가특례,body,기술특례,한국투자증권(주),기계/장비,13000,209.56,37310.01,848.37,2.2,113.1,65.4,64.6
