회사명,상장일,시장구분,트랙,판정근거,기존DB분류,대표주관회사,산업분류,확정공모가,공모금액_억원,시가총액_억원,기관경쟁률,확약비율,수익률_1M,수익률_6M,수익률_1Y
케이웨더,2024-02-22,코스닥,성장성/사업모델,body,기술특례,엔에이치투자증권(주),기계/장비,7000,70.0,704.66,1362.5,3.93,32.4,-40.0,-54.8
코셈,2024-02-23,코스닥,기술평가특례,body,기술특례,키움증권(주),기계/장비,16000,96.0,933.12,1267.6,10.04,45.9,-46.3,-56.8
이에이트,2024-02-23,코스닥,기술평가특례,body,기술특례,한화투자증권(주),IT/소프트웨어,20000,226.0,2260.0,630.64,2.35,7.2,-26.5,-77.0
케이엔알시스템,2024-03-07,코스닥,기술평가특례,body,기술특례,"엔에이치투자증권(주),DB증권주식회사",기계/장비,13500,284.04,1561.79,873.2,31.86,72.6,-39.0,-31.1
삼현,2024-03-21,코스닥,기술평가특례,body,기술특례,한국투자증권(주),자동차/모빌리티,30000,600.0,2117.17,649.11,10.64,16.2,-26.2,16.7
아이엠비디엑스,2024-04-03,코스닥,기술평가특례,body,기술특례,미래에셋증권 주식회사,바이오/헬스케어,13000,325.0,1858.98,865.73,4.5,30.3,34.8,-27.2
제일엠앤에스,2024-04-30,코스닥,이익미실현,peer,이익미실현,KB증권(주),기계/장비,22000,528.0,4536.81,645.91,5.49,-28.0,-50.9,
디앤디파마텍,2024-05-02,코스닥,기술평가특례,body,기술특례,한국투자증권(주),바이오/헬스케어,33000,363.0,3639.86,848.5,10.96,-13.6,32.3,80.3
민테크,2024-05-03,코스닥,기술평가특례,body,기술특례,KB증권(주),2차전지/에너지,10500,315.0,3150.0,946.72,4.23,-18.4,-41.4,-60.5
아이씨티케이,2024-05-17,코스닥,기술평가특례,body,기술특례,엔에이치투자증권(주),반도체/디스플레이,20000,394.0,2744.7,783.2,6.54,-39.1,-68.6,-22.8
라메디텍,2024-06-17,코스닥,기술평가특례,body,기술특례,대신증권(주),바이오/헬스케어,16000,207.68,1447.28,1115.44,9.93,2.4,-49.4,-49.8
씨어스테크놀로지,2024-06-19,코스닥,기술평가특례,body,기술특례,한국투자증권(주),바이오/헬스케어,17000,221.0,2187.2,1084.39,2.06,-24.5,-41.5,19.1
한중엔시에스,2024-06-24,코스닥,기술평가특례,body,기술특례,,2차전지/에너지,30000,480.0,2725.5,725.94,12.44,31.7,-25.8,-15.7
에스오에스랩,2024-06-25,코스닥,기술평가특례,body,기술특례,한국투자증권(주),자동차/모빌리티,11500,230.0,2069.08,1072.3,4.19,-33.0,5.7,24.4
에이치브이엠,2024-06-28,코스닥,기술평가특례,body,기술특례,엔에이치투자증권(주),화학/소재,18000,432.0,2210.11,837.2,0.0,-38.1,22.5,50.3
이노스페이스,2024-07-02,코스닥,기술평가특례,body,기술특례,미래에셋증권 주식회사,방산/우주항공,43300,575.89,4122.19,598.87,1.99,-44.6,-61.7,-61.5
하스,2024-07-03,코스닥,기술평가특례,body,기술특례,삼성증권(주),바이오/헬스케어,16000,289.6,1340.26,946.4,6.36,-21.5,-56.6,-48.9
엑셀세라퓨틱스,2024-07-15,코스닥,기술평가특례,body,기술특례,대신증권(주),바이오/헬스케어,10000,161.8,1137.16,1233.8,4.5,-38.0,-54.8,-68.7
피앤에스미캐닉스,2024-07-31,코스닥,기술평가특례,body,기술특례,키움증권(주),바이오/헬스케어,22000,297.0,1423.78,986.08,5.6,-38.9,-35.5,-40.9
아이빔테크놀로지,2024-08-06,코스닥,기술평가특례,body,기술특례,삼성증권(주),기계/장비,10000,223.4,1574.94,1011.5,0.49,-17.4,-51.4,-67.4
넥스트바이오메디컬,2024-08-20,코스닥,기술평가특례,body,기술특례,한국투자증권(주),바이오/헬스케어,29000,290.0,2390.09,356.95,2.18,37.2,82.4,89.7
케이쓰리아이,2024-08-20,코스닥,기술평가특례,body,기술특례,하나증권주식회사,IT/소프트웨어,15500,217.0,1214.21,239.23,1.03,-53.9,-66.8,-69.4
이엔셀,2024-08-23,코스닥,기술평가특례,body,기술특례,엔에이치투자증권(주),바이오/헬스케어,15300,239.72,1710.7,949.3,0.24,40.8,25.9,-33.2
아이언디바이스,2024-09-23,코스닥,기술평가특례,body,기술특례,대신증권(주),반도체/디스플레이,7000,210.0,992.83,1152.85,3.34,-27.0,-45.4,-47.9
셀비온,2024-10-16,코스닥,기술평가특례,body,기술특례,대신증권(주),바이오/헬스케어,15000,286.65,2009.45,1050.19,8.64,-12.7,22.5,18.1
루미르,2024-10-21,코스닥,기술평가특례,body,기술특례,엔에이치투자증권(주),방산/우주항공,12000,288.0,2303.82,13.1,0.14,-5.8,-26.8,-25.9
씨메스,2024-10-24,코스닥,기술평가특례,body,기술특례,"유진투자증권(주),삼성증권(주)",기계/장비,30000,780.0,7800.0,577.59,1.0,-47.1,-12.5,3.7
웨이비스,2024-10-25,코스닥,기술평가특례,body,기술특례,대신증권(주),반도체/디스플레이,15000,223.5,2106.05,1159.89,0.01,-47.5,-40.3,-44.5
에이치이엠파마,2024-11-05,코스닥,기술평가특례,body,기술특례,신한투자증권 주식회사,바이오/헬스케어,23000,160.31,1669.02,1220.68,0.29,-43.5,-8.0,24.6
토모큐브,2024-11-07,코스닥,기술평가특례,body,기술특례,대신증권(주),기계/장비,16000,320.0,2143.42,967.71,0.14,-21.3,29.1,168.8
에어레인,2024-11-08,코스닥,기술평가특례,body,기술특례,신영증권(주),기계/장비,23000,276.0,2477.8,1000.1,0.46,-53.2,-14.7,-20.4
노머스,2024-11-12,코스닥,이익미실현,peer,이익미실현,대신증권(주),엔터/미디어/게임,30200,341.26,3361.05,288.0,0.79,-34.9,-4.8,-19.5
닷밀,2024-11-13,코스닥,이익미실현,peer,일반,미래에셋증권 주식회사,엔터/미디어/게임,13000,156.0,1226.95,1082.35,0.22,-59.5,-48.2,-61.8
에스켐,2024-11-18,코스닥,이익미실현,peer,이익미실현,엔에이치투자증권(주),화학/소재,10000,195.0,806.31,283.9,0.82,-37.4,-50.8,-33.5
온코크로스,2024-12-18,코스닥,기술평가특례,body,기술특례,미래에셋증권 주식회사,바이오/헬스케어,7300,103.88,924.69,635.05,0.0,7.8,74.1,59.6
온코닉테라퓨틱스,2024-12-19,코스닥,기술평가특례,body,기술특례,엔에이치투자증권(주),바이오/헬스케어,13000,201.5,1504.03,198.96,3.72,13.5,79.2,476.6
쓰리에이로직스,2024-12-24,코스닥,기술평가특례,body,기술특례,"신한투자증권 주식회사,미래에셋증권 주식회사",반도체/디스플레이,11000,204.31,1059.39,129.1,0.0,-44.5,-34.6,-43.8
와이즈넛,2025-01-24,코스닥,기술평가특례,body,기술특례,삼성증권(주),IT/소프트웨어,17000,153.0,2238.98,64.85,0.32,-23.8,-16.9,-36.5
데이원컴퍼니,2025-01-24,코스닥,이익미실현,peer,이익미실현,"미래에셋증권 주식회사,삼성증권(주)",기타,13000,176.93,1813.58,114.98,0.0,-47.6,-52.5,-65.2
아이지넷,2025-02-04,코스닥,성장성/사업모델,body,기술특례(성장성),한국투자증권(주),IT/소프트웨어,7000,140.0,1098.27,1138.59,0.4,-53.6,-59.9,-71.1
아이에스티이,2025-02-12,코스닥,기술평가특례,body,기술특례,KB증권(주),반도체/디스플레이,11400,148.2,981.1,1148.16,1.69,10.1,-7.8,-4.8
오름테라퓨틱,2025-02-14,코스닥,기술평가특례,body,기술특례,한국투자증권(주),바이오/헬스케어,20000,500.0,4527.28,16.93,10.93,50.5,15.5,486.5
엠디바이스,2025-03-07,코스닥,이익미실현,peer,이익미실현,삼성증권(주),반도체/디스플레이,8350,105.21,1052.1,1366.65,4.9,9.2,26.7,221.6
심플랫폼,2025-03-21,코스닥,기술평가특례,body,기술특례,KB증권(주),IT/소프트웨어,15000,138.0,997.12,1213.84,0.31,7.5,-24.7,-46.7
쎄크,2025-04-28,코스닥,기술평가특례,body,기술특례,신영증권(주),기계/장비,15000,180.0,1323.83,1232.54,3.76,-14.1,-38.5,-5.5
나우로보틱스,2025-05-08,코스닥,기술평가특례,body,기술특례,"대신증권(주),iM증권",기계/장비,6800,170.0,893.87,1394.96,13.59,305.1,255.1,245.6
오가노이드사이언스,2025-05-09,코스닥,기술평가특례,body,기술특례,한국투자증권(주),바이오/헬스케어,21000,252.0,1165.29,1066.9,6.33,54.5,61.4,6.7
로킷헬스케어,2025-05-12,코스닥,기술평가특례,body,기술특례,SK증권(주),바이오/헬스케어,11000,171.6,1784.05,368.45,8.51,56.6,261.4,550.0
이뮨온시아,2025-05-19,코스닥,기술평가특례,body,기술특례,한국투자증권(주),바이오/헬스케어,3600,329.06,2297.15,897.45,8.22,50.3,58.9,58.9
링크솔루션,2025-06-10,코스닥,기술평가특례,body,기술특례,신영증권(주),기계/장비,23000,207.0,1335.48,1159.43,1.83,-24.9,63.5,90.0
지씨지놈,2025-06-11,코스닥,기술평가특례,body,기술특례,삼성증권(주),바이오/헬스케어,10500,420.0,4200.0,,,-16.8,-25.8,-47.0
뉴엔AI,2025-07-04,코스닥,기술평가특례,body,기술특례,엔에이치투자증권(주),IT/소프트웨어,15000,333.0,3330.0,,,108.7,14.7,-49.1
프로티나,2025-07-29,코스닥,기술평가특례,body,기술특례,한국투자증권(주),바이오/헬스케어,14000,210.0,1601.03,1199.2,8.11,11.0,495.0,
아이티켐,2025-08-07,코스닥,이익미실현,peer,이익미실현,KB증권(주),바이오/헬스케어,16100,322.0,2108.21,1157.98,23.83,21.3,126.7,
지투지바이오,2025-08-14,코스닥,기술평가특례,body,기술특례,미래에셋증권 주식회사,바이오/헬스케어,58000,522.0,3241.71,810.6,15.64,186.0,345.1,
에스투더블유,2025-09-19,코스닥,기술평가특례,body,기술특례,대신증권(주),IT/소프트웨어,13200,208.56,1459.7,1145.4,22.86,56.4,10.0,
노타,2025-11-03,코스닥,기술평가특례,body,기술특례,미래에셋증권 주식회사,IT/소프트웨어,9100,265.36,1956.57,1058.2,59.75,385.7,294.0,
큐리오시스,2025-11-13,코스닥,기술평가특례,body,기술특례,키움증권(주),기계/장비,22000,264.0,1692.21,1031.39,55.67,,146.4,
그린광학,2025-11-17,코스닥,기술평가특례,body,기술특례,신영증권(주),기계/장비,16000,320.0,1872.41,962.34,65.43,13.2,76.2,
비츠로넥스텍,2025-11-21,코스닥,기술평가특례,body,기술특례,엔에이치투자증권(주),방산/우주항공,6900,303.6,1999.37,1015.93,29.76,46.4,122.2,
에임드바이오,2025-12-04,코스닥,기술평가특례,body,기술특례,미래에셋증권 주식회사,바이오/헬스케어,11000,707.3,7321.73,671.98,74.22,410.0,151.8,
테라뷰,2025-12-09,코스닥,기술평가특례,body,기술특례,,기계/장비,8000,400.0,4000.0,,,,,
이지스,2025-12-11,코스닥,기술평가특례,body,기술특례,엔에이치투자증권(주),IT/소프트웨어,15000,225.0,1578.76,1109.86,6.31,-26.4,-69.7,
쿼드메디슨,2025-12-12,코스닥,기술평가특례,body,기술특례,엔에이치투자증권(주),바이오/헬스케어,15000,255.0,1763.16,1139.61,17.82,-11.1,-48.0,
나라스페이스테크놀로지,2025-12-17,코스닥,기술평가특례,body,기술특례,삼성증권(주),방산/우주항공,16500,283.8,1942.8,879.08,5.53,85.8,28.5,
리브스메드,2025-12-24,코스닥,기술평가특례,body,기술특례,"미래에셋증권 주식회사,삼성증권(주)",바이오/헬스케어,55000,1358.5,14255.86,231.87,17.12,13.1,-33.1,
세미파이브,2025-12-29,코스닥,이익미실현,peer,이익미실현,"삼성증권(주),유비에스증권 리미티드 서울지점",건설/인프라,24000,1296.0,8860.74,436.89,43.93,18.3,-13.5,
카나프테라퓨틱스,2026-03-16,코스닥,기술평가특례,body,기술특례,한국투자증권(주),바이오/헬스케어,20000,400.0,2697.91,962.1,76.1,86.5,,
아이엠바이오로직스,2026-03-20,코스닥,기술평가특례,body,기술특례,"신한투자증권 주식회사,한국투자증권(주)",바이오/헬스케어,26000,520.0,2887.2,839.23,76.01,135.4,,
리센스메디컬,2026-03-31,코스닥,기술평가특례,body,기술특례,"한국투자증권(주),KB증권(주)",바이오/헬스케어,11000,154.0,1233.47,1352.63,63.92,176.4,,
인벤테라,2026-04-02,코스닥,기술평가특례,body,기술특례,"유진투자증권(주),엔에이치투자증권(주)",바이오/헬스케어,16600,195.88,1422.64,1328.82,43.06,38.0,,
채비,2026-04-29,코스닥,이익미실현,body,이익미실현,"대신증권(주),하나증권주식회사,삼성증권(주),KB증권(주)",2차전지/에너지,12300,1107.0,6127.65,55.23,6.49,-11.7,,
코스모로보틱스,2026-05-11,코스닥,기술평가특례,body,기술특례,"유진투자증권(주),엔에이치투자증권(주)",바이오/헬스케어,6000,250.2,1961.98,1140.11,73.03,338.3,,
마키나락스,2026-05-20,코스닥,기술평가특례,body,기술특례,미래에셋증권 주식회사,IT/소프트웨어,15000,395.25,2738.31,1196.08,78.17,27.1,,
져스텍,2026-06-29,코스닥,기술평가특례,body,기술특례,삼성증권(주),2차전지/에너지,12500,200.0,1556.86,1294.99,47.2,,,
스트라드비젼,2026-06-30,코스닥,기술평가특례,body,기술특례,KB증권(주),IT/소프트웨어,12000,840.0,6660.41,381.3,2.77,,,
매드업,2026-07-01,코스닥,기술평가특례,body,이익미실현,미래에셋증권 주식회사,기타,8000,160.0,1513.62,1396.29,27.39,,,
