회사명,상장일,시장구분,DB분류,growth,bizmodel,tech,noprofit,문서
굿센,2016-10-31,코스닥,(NULL),0,0,0,0,
로고스바이오,2016-11-03,코스닥,기술특례,0,0,8,0,20161025000033.xml
오가닉티코스메틱,2016-11-04,코스닥,일반,0,0,0,0,20161024000045.xml
클리오,2016-11-09,코스닥,일반,0,0,0,0,20161027000349.xml
삼성바이오로직스,2016-11-10,유가증권,일반,0,0,0,0,20161028000334.xml
수젠텍,2016-11-11,코넥스,(NULL),1,0,35,0,20190513000745.xml
비플라이소프트,2016-11-16,코스닥,(NULL),1,0,56,4,20220608000028.xml
두산밥캣,2016-11-18,유가증권,일반,0,0,0,0,20161107000002.xml
핸디소프트,2016-11-24,코스닥,일반,0,0,0,0,20161111000305.xml
에이치엔티,2016-11-28,코스닥,일반,0,0,0,0,20161116000121.xml
나무기술,2016-11-28,코넥스,(NULL),0,0,3,0,20160819000002.xml
시큐센,2016-11-29,코스닥,(NULL),0,0,14,1,20230619000136.xml
스템랩,2016-11-29,코스닥,(NULL),0,0,0,0,
뉴파워프라즈마,2016-11-30,코스닥,일반,0,0,3,0,20161118000332.xml
엘앤케이바이오,2016-11-30,코스닥,일반,0,0,4,0,20161118000154.xml
오션브릿지,2016-12-01,코스닥,일반,0,0,3,0,20161118000262.xml
퓨쳐켐,2016-12-01,코스닥,기술특례,0,0,8,0,20161122000084.xml
핸즈코퍼레이션,2016-12-02,유가증권,일반,0,0,0,0,20161118000005.xml
신라젠,2016-12-06,코스닥,기술특례,0,0,15,0,20161125000431.xml
애니젠,2016-12-07,코스닥,기술특례,0,0,2,0,20161125000358.xml
유니온커뮤니티,2016-12-07,코스닥,일반,0,0,0,0,
바이오프로테크,2016-12-08,코스닥,(NULL),0,0,0,0,
현성바이탈,2016-12-09,코스닥,일반,0,0,0,0,
마이크로프랜드,2016-12-12,코스닥,일반,0,0,0,0,20161130000826.xml
피시피아비아이티,2016-12-13,코스닥,(NULL),0,0,0,0,
티에스인베스트먼트,2016-12-15,코스닥,일반,0,0,0,0,20161206000135.xml
DSC인베스트먼트,2016-12-19,코스닥,일반,0,0,0,0,20161207000343.xml
오파스넷,2016-12-20,코넥스,(NULL),0,0,2,0,20180810000047.xml
패션플랫폼,2016-12-20,코넥스,(NULL),0,0,3,0,20150914000005.xml
퓨전데이타,2016-12-21,코스닥,일반,0,0,0,0,20161209000102.xml
케이피에스,2016-12-21,코스닥,(NULL),0,0,0,0,
피엔아이시스템,2016-12-22,코스닥,(NULL),0,0,0,0,
전우정밀,2016-12-23,코스닥,(NULL),0,0,0,0,
캐로스,2016-12-23,코스닥,(NULL),0,0,0,0,
